epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
169,15753.7,0.94203,0.47787,1.2186,0.96148,0.98432,0.98533,0.74732,0.98288,0.35148,1.0718,0.00675156,0.00675156,0.00675156
170,15841.9,0.94313,0.47602,1.21044,0.95799,0.98877,0.98429,0.74557,0.98538,0.35099,1.06964,0.00673223,0.00673223,0.00673223
171,15932.3,0.93734,0.47991,1.20621,0.95797,0.98823,0.9836,0.74475,0.98718,0.35146,1.06728,0.00671289,0.00671289,0.00671289
172,16022.4,0.93479,0.47799,1.19975,0.96193,0.98432,0.98475,0.74514,0.98873,0.35171,1.06417,0.00669355,0.00669355,0.00669355
173,16111.6,0.94524,0.48418,1.20841,0.96667,0.98063,0.98517,0.74449,0.98889,0.35076,1.06578,0.00667422,0.00667422,0.00667422
174,16202,0.94466,0.48104,1.20344,0.96624,0.98155,0.98461,0.74423,0.98802,0.34989,1.06474,0.00665488,0.00665488,0.00665488
175,16291.8,0.92866,0.4735,1.19369,0.96638,0.98107,0.98435,0.74322,0.98742,0.34835,1.06246,0.00663555,0.00663555,0.00663555
176,16381.2,0.93555,0.47397,1.20567,0.96135,0.98708,0.98448,0.74606,0.98517,0.34787,1.06553,0.00661621,0.00661621,0.00661621
177,16471,0.94475,0.4759,1.21126,0.96136,0.98688,0.98444,0.74627,0.98479,0.34812,1.06679,0.00659688,0.00659688,0.00659688
178,16561.6,0.93365,0.47513,1.21177,0.96117,0.98708,0.98455,0.74708,0.9824,0.34669,1.07203,0.00657754,0.00657754,0.00657754
